projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
testi,2017-06-05T16:38:04+0000,038347558b31b1eeac7fb4bdd81d58fe,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/DefaultParser.java,CRITICAL,186,186,,OPEN,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,8min,8min,
testi,2017-06-05T16:38:04+0000,1757db7e3b0c8260bf01ca886b13597a,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/GnuParser.java,CRITICAL,50,50,,OPEN,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,12min,12min,
testi,2017-06-05T16:38:04+0000,7fee4cb465ccc2efd7c6842dd421ad72,CODE_SMELL,squid:S00107,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,511,511,,OPEN,"Method has 8 parameters, which is greater than 7 authorized.",20min,20min,
testi,2017-06-05T16:38:04+0000,7fee4cb465ccc2efd7c6842dd421ad72,CODE_SMELL,squid:S00107,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,538,538,,OPEN,"Method has 9 parameters, which is greater than 7 authorized.",20min,20min,
testi,2017-06-05T16:38:04+0000,4cfe68485bb5ae269f882e1d5d99763a,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,642,642,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,131a463ebf85f1cba7ec8806eb80907f,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,679,679,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,789,789,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,789,789,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,eb96a016d2c27b7036ba5380afe13000,CODE_SMELL,squid:S3776,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,CRITICAL,789,789,,OPEN,Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.,22min,22min,
testi,2017-06-05T16:38:04+0000,aee060f15cb8f50943d542d768c7bf14,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,888,888,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,aee060f15cb8f50943d542d768c7bf14,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,888,888,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,b870521d6dbf23cddc48e578d5598396,CODE_SMELL,squid:S1149,testi:src/main/java/org/apache/commons/cli/HelpFormatter.java,MAJOR,940,940,,OPEN,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",20min,20min,
testi,2017-06-05T16:38:04+0000,f8ba93c0d0cc1c68b1f80fc953d19be5,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,109,109,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,e09ed2e9ecabe714968df8bfdd0a5bac,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,124,124,,OPEN,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,48d8ac41fa008c13d5383740d13f3bcf,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/Option.java,INFO,216,216,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,a42a428b6b3d1bad8d9a8eab9067280a,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,testi:src/main/java/org/apache/commons/cli/Option.java,MINOR,537,537,,OPEN,Remove the declaration of thrown exception 'java.lang.IndexOutOfBoundsException' which is a runtime exception.,5min,5min,
testi,2017-06-05T16:38:04+0000,089cc650392430d43cef354a18751905,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/Option.java,INFO,713,713,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
